Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
pescatarian,natural gas,walk/bicycle,157,frequently,73,4,161,331.8
pescatarian,wood,private,280,very frequently,8320,5,91,782.2
vegetarian,coal,walk/bicycle,121,never,72,6,147,240.8
vegan,coal,walk/bicycle,174,very frequently,9,2,112,486.2
vegetarian,electricity,walk/bicycle,173,frequently,60,2,252,328.0
vegan,natural gas,walk/bicycle,199,frequently,13,5,224,329.6
omnivore,wood,walk/bicycle,94,rarely,32,6,224,200.4
pescatarian,coal,walk/bicycle,64,frequently,49,1,245,354.2
omnivore,electricity,public,100,very frequently,1351,1,175,405.6
vegetarian,coal,public,240,very frequently,1726,2,140,508.0
omnivore,electricity,public,245,never,1021,7,168,277.2
pescatarian,coal,walk/bicycle,270,rarely,62,5,231,335.8
omnivore,wood,private,294,very frequently,9488,5,238,628.2
vegetarian,wood,public,87,very frequently,1037,4,168,525.4
pescatarian,wood,private,209,never,9555,2,112,237.6
pescatarian,electricity,private,124,never,9031,5,42,634.8
vegetarian,natural gas,public,276,frequently,1461,7,217,465.4
vegan,wood,walk/bicycle,90,very frequently,39,3,217,364.4
vegan,natural gas,private,136,never,5033,6,168,533.0
vegan,electricity,public,246,frequently,1065,4,203,425.8
pescatarian,wood,public,94,rarely,927,5,273,285.0
vegetarian,electricity,private,253,frequently,2277,1,140,338.0
omnivore,natural gas,walk/bicycle,200,rarely,97,7,91,343.4
vegan,coal,private,281,frequently,7272,2,63,812.0
vegetarian,electricity,private,82,rarely,5260,3,217,652.4
pescatarian,coal,public,73,rarely,1750,1,147,334.8
vegetarian,natural gas,private,246,frequently,2998,4,21,627.0
pescatarian,natural gas,private,98,rarely,9147,5,147,893.0
pescatarian,electricity,public,256,rarely,1947,3,217,396.8
vegetarian,electricity,private,287,very frequently,4885,1,168,649.2
omnivore,electricity,walk/bicycle,63,frequently,20,4,105,270.2
vegetarian,coal,walk/bicycle,158,never,23,1,182,385.8
omnivore,electricity,walk/bicycle,241,frequently,34,5,238,543.8
vegetarian,coal,walk/bicycle,176,frequently,59,1,210,467.2
vegetarian,wood,public,189,never,682,6,21,254.0
vegetarian,natural gas,walk/bicycle,214,never,10,6,308,360.6
vegan,electricity,walk/bicycle,264,very frequently,10,1,168,363.2
omnivore,coal,private,213,never,7964,1,175,927.6
omnivore,coal,private,281,rarely,3606,3,266,381.8
vegan,natural gas,public,280,frequently,536,2,21,404.2
omnivore,natural gas,public,125,rarely,1564,5,189,379.2
vegan,electricity,walk/bicycle,188,frequently,78,4,98,354.0
omnivore,wood,walk/bicycle,251,never,98,1,105,264.6
pescatarian,wood,public,285,very frequently,1820,1,210,453.8
vegan,wood,public,234,never,243,4,175,383.6
vegan,natural gas,public,91,very frequently,1586,7,70,495.4
omnivore,natural gas,walk/bicycle,118,frequently,11,3,154,288.8
vegetarian,natural gas,walk/bicycle,75,never,72,5,217,250.8
vegetarian,electricity,public,134,never,1157,5,203,282.2
pescatarian,wood,public,282,never,1380,4,105,321.0
vegetarian,electricity,private,110,never,5765,5,175,610.8
vegetarian,natural gas,walk/bicycle,202,very frequently,92,6,161,580.4
pescatarian,electricity,private,56,frequently,7797,7,259,860.2
vegan,electricity,walk/bicycle,223,very frequently,50,3,238,461.6
vegetarian,wood,private,202,frequently,7629,1,133,826.4
vegetarian,wood,private,114,frequently,2367,3,168,598.6
omnivore,wood,private,141,frequently,3960,1,56,619.6
vegan,coal,walk/bicycle,236,rarely,42,2,203,272.8
omnivore,coal,private,95,rarely,6455,1,203,588.2
vegetarian,electricity,walk/bicycle,249,frequently,41,4,70,269.8
pescatarian,natural gas,walk/bicycle,213,never,71,1,280,207.6
vegetarian,wood,walk/bicycle,81,never,39,7,217,363.0
vegetarian,coal,walk/bicycle,91,very frequently,50,1,259,513.2
vegan,wood,private,291,very frequently,8707,3,175,487.8
pescatarian,electricity,private,70,very frequently,167,2,203,411.2
pescatarian,natural gas,public,89,very frequently,631,7,140,459.8
vegan,electricity,public,121,rarely,194,6,231,298.4
omnivore,coal,walk/bicycle,198,rarely,46,1,203,338.4
vegetarian,wood,walk/bicycle,234,frequently,37,3,126,516.2
vegetarian,wood,walk/bicycle,84,rarely,31,2,7,190.0
vegan,coal,private,182,never,2880,5,77,384.6
pescatarian,wood,walk/bicycle,275,never,6,2,266,350.2
pescatarian,coal,walk/bicycle,228,very frequently,40,6,56,512.4
vegan,wood,walk/bicycle,140,frequently,1,6,231,491.2
vegetarian,electricity,public,232,never,1341,1,161,131.4
pescatarian,electricity,public,115,very frequently,393,3,210,351.6
vegan,natural gas,public,157,frequently,191,4,98,436.8
pescatarian,coal,public,156,very frequently,131,1,259,601.8
omnivore,wood,private,252,very frequently,1419,5,196,749.6
vegan,electricity,private,162,rarely,9159,7,126,224.4
vegetarian,wood,private,145,never,8016,3,259,562.0
omnivore,electricity,walk/bicycle,214,never,87,3,329,269.2
vegan,natural gas,walk/bicycle,126,rarely,3,5,189,134.2
omnivore,wood,walk/bicycle,91,frequently,13,1,245,339.0
omnivore,electricity,walk/bicycle,205,never,74,3,175,162.0
pescatarian,wood,private,285,frequently,7743,3,35,553.6
vegan,natural gas,public,178,never,993,7,168,206.6
omnivore,coal,public,236,rarely,1997,4,84,409.2
omnivore,coal,private,286,rarely,2721,6,315,434.2
vegetarian,coal,walk/bicycle,108,rarely,5,7,175,262.4
vegan,wood,public,76,rarely,941,1,294,241.8
vegan,coal,private,270,frequently,8815,2,112,803.4
pescatarian,wood,private,146,rarely,3276,1,161,175.4
vegan,electricity,private,221,never,3309,5,196,371.2
pescatarian,wood,private,230,never,2623,2,224,439.4
omnivore,electricity,private,295,very frequently,7915,1,231,856.2
vegan,electricity,private,177,frequently,8897,3,287,696.0
vegetarian,natural gas,walk/bicycle,189,never,19,1,203,190.6
omnivore,natural gas,private,174,frequently,3662,2,210,409.2
vegan,coal,private,193,never,611,6,119,504.2
omnivore,wood,public,238,very frequently,1431,6,28,710.2
pescatarian,wood,public,101,never,1978,3,175,291.8
vegan,electricity,walk/bicycle,99,very frequently,92,2,182,498.4
omnivore,coal,walk/bicycle,50,frequently,82,1,182,482.2
pescatarian,coal,public,71,very frequently,1851,7,245,552.2
vegetarian,wood,public,232,rarely,1224,3,112,300.0
pescatarian,wood,private,247,never,8219,5,161,341.6
omnivore,coal,public,222,never,1390,4,182,343.4
vegan,wood,public,61,frequently,434,1,259,427.0
vegan,wood,private,137,never,7460,6,175,408.4
vegan,wood,walk/bicycle,157,rarely,15,1,266,244.2
vegetarian,natural gas,private,174,very frequently,4686,2,14,694.6
vegetarian,electricity,walk/bicycle,214,never,88,5,231,275.6
pescatarian,electricity,walk/bicycle,214,very frequently,40,2,161,427.0
pescatarian,wood,walk/bicycle,66,never,56,6,217,292.8
vegan,coal,walk/bicycle,123,very frequently,14,6,308,563.2
vegan,wood,public,105,very frequently,108,1,196,442.0
omnivore,natural gas,private,125,never,5168,3,126,310.4
vegan,coal,private,280,frequently,672,3,294,481.2
vegan,natural gas,walk/bicycle,238,very frequently,94,3,273,600.8
vegetarian,wood,private,270,rarely,3114,3,168,508.0
vegetarian,natural gas,private,80,rarely,7134,2,70,484.8
vegan,coal,private,276,rarely,8609,6,182,800.0
omnivore,natural gas,public,210,never,852,1,182,257.6
vegetarian,natural gas,public,270,rarely,1673,6,210,463.4
vegetarian,coal,public,152,very frequently,1564,7,168,546.0
vegan,wood,walk/bicycle,247,rarely,74,7,175,274.2
omnivore,natural gas,private,145,rarely,2885,4,168,469.8
vegan,natural gas,private,260,rarely,8130,7,49,907.2
vegetarian,wood,public,283,very frequently,228,3,133,597.4
vegetarian,wood,public,277,never,1162,4,56,207.8
pescatarian,wood,public,203,never,71,2,154,207.2
omnivore,natural gas,private,213,frequently,6337,4,91,724.0
vegan,natural gas,public,135,rarely,1649,4,70,201.8
omnivore,natural gas,private,96,very frequently,6159,2,175,579.0
omnivore,electricity,private,162,never,9884,1,294,858.8
vegan,wood,private,233,frequently,4060,7,140,685.8
omnivore,natural gas,walk/bicycle,262,rarely,68,7,140,266.8
pescatarian,wood,walk/bicycle,176,very frequently,5,7,203,739.4
pescatarian,natural gas,public,176,rarely,702,4,175,298.8
vegan,coal,walk/bicycle,147,very frequently,2,4,126,555.8
omnivore,coal,walk/bicycle,83,rarely,42,1,56,198.6
omnivore,coal,public,205,never,274,5,140,388.8
omnivore,coal,public,125,frequently,590,3,14,294.8
vegetarian,natural gas,private,145,frequently,84,1,161,376.0
pescatarian,coal,private,236,frequently,6908,3,224,707.0
omnivore,wood,walk/bicycle,101,rarely,52,7,238,328.8
vegetarian,natural gas,private,77,frequently,121,2,35,253.6
omnivore,natural gas,walk/bicycle,241,rarely,30,7,266,305.8
vegan,electricity,public,124,rarely,1336,4,210,415.2
omnivore,electricity,walk/bicycle,82,never,89,4,105,370.0
pescatarian,natural gas,public,262,never,1412,6,203,200.0
vegetarian,electricity,walk/bicycle,254,never,4,3,133,297.0
pescatarian,coal,public,76,rarely,1924,1,112,227.8
pescatarian,natural gas,walk/bicycle,207,never,64,2,154,136.4
vegan,natural gas,private,234,never,8659,1,133,185.2
pescatarian,coal,walk/bicycle,93,rarely,82,1,280,207.4
vegan,electricity,walk/bicycle,76,very frequently,31,4,7,293.4
omnivore,natural gas,private,67,rarely,5230,3,35,182.8
omnivore,electricity,public,101,frequently,450,4,294,348.2
vegetarian,coal,public,73,very frequently,441,2,224,548.4
vegetarian,wood,private,280,rarely,6160,2,140,597.6
vegan,coal,walk/bicycle,85,frequently,35,4,168,432.0
pescatarian,natural gas,walk/bicycle,256,frequently,57,6,203,619.6
vegetarian,wood,walk/bicycle,193,very frequently,7,3,119,552.8
pescatarian,wood,private,145,frequently,5469,4,147,467.0
pescatarian,wood,walk/bicycle,282,frequently,6,3,133,292.4
omnivore,coal,public,133,frequently,21,3,112,471.2
vegetarian,coal,public,232,rarely,1127,1,245,346.2
omnivore,coal,walk/bicycle,129,never,7,2,280,232.4
vegetarian,coal,private,140,frequently,6028,3,210,376.8
vegan,wood,private,155,rarely,1669,3,112,301.0
pescatarian,wood,public,171,never,1972,6,105,250.4
omnivore,electricity,public,274,never,684,6,133,272.0
omnivore,coal,walk/bicycle,264,very frequently,13,4,245,764.8
vegan,coal,private,98,very frequently,8061,7,126,916.0
vegan,coal,private,252,never,2544,7,336,566.6
vegetarian,electricity,walk/bicycle,256,rarely,46,1,217,226.2
pescatarian,electricity,public,209,very frequently,62,1,231,476.4
vegan,wood,private,269,frequently,4447,4,133,529.8
pescatarian,wood,private,113,rarely,4303,7,238,541.2
vegan,electricity,private,270,very frequently,3176,5,168,609.0
pescatarian,wood,private,72,rarely,7255,2,7,626.8
vegan,wood,walk/bicycle,101,very frequently,62,7,91,723.8
omnivore,wood,private,196,very frequently,6254,6,287,1002.6
vegan,coal,walk/bicycle,277,very frequently,93,3,287,488.6
omnivore,wood,walk/bicycle,91,never,86,3,63,97.6
pescatarian,wood,public,97,rarely,357,7,189,481.8
vegan,wood,private,244,very frequently,8725,7,77,1431.8
vegetarian,natural gas,public,108,very frequently,1753,5,105,534.0
omnivore,wood,walk/bicycle,106,very frequently,45,1,245,464.2
vegan,coal,public,103,rarely,292,5,175,314.8
vegetarian,coal,public,220,very frequently,1739,6,280,494.2
omnivore,electricity,walk/bicycle,287,frequently,2,6,259,508.2
omnivore,wood,walk/bicycle,123,very frequently,38,3,133,459.6
pescatarian,electricity,public,259,rarely,970,1,231,289.0
vegan,natural gas,private,172,never,8616,7,196,848.0
pescatarian,coal,public,227,very frequently,635,3,105,530.0
omnivore,coal,private,161,never,2914,1,182,206.6
pescatarian,electricity,walk/bicycle,146,rarely,92,3,252,198.0
vegan,electricity,walk/bicycle,151,never,67,6,140,187.4
pescatarian,electricity,private,244,frequently,6972,5,182,696.6
pescatarian,natural gas,private,193,very frequently,9812,3,154,1303.0
omnivore,wood,public,255,very frequently,1057,7,182,585.8
pescatarian,wood,private,125,rarely,3295,1,154,475.4
omnivore,coal,walk/bicycle,52,frequently,97,1,119,250.4
omnivore,wood,private,252,rarely,9705,6,224,374.8
vegan,natural gas,private,69,rarely,3105,6,70,315.8
omnivore,natural gas,walk/bicycle,139,never,6,1,238,194.8
vegetarian,electricity,walk/bicycle,242,very frequently,34,2,161,521.4
pescatarian,natural gas,public,224,frequently,1328,2,322,410.8
omnivore,coal,public,242,never,779,7,133,332.4
vegan,natural gas,public,193,rarely,913,4,42,292.6
pescatarian,wood,private,79,rarely,5464,1,231,228.6
pescatarian,wood,private,222,never,3912,6,189,558.0
omnivore,natural gas,walk/bicycle,271,rarely,89,7,175,525.8
omnivore,wood,private,193,frequently,4359,5,140,467.6
pescatarian,coal,private,156,rarely,7873,7,189,796.8
pescatarian,natural gas,public,168,rarely,374,2,161,250.6
vegetarian,natural gas,public,175,rarely,1218,1,203,296.0
omnivore,natural gas,walk/bicycle,212,rarely,1,1,91,311.2
omnivore,natural gas,public,101,never,638,7,63,369.4
omnivore,natural gas,private,296,rarely,8641,4,273,555.6
omnivore,coal,walk/bicycle,66,never,46,5,196,365.6
vegetarian,wood,private,210,rarely,2871,1,105,336.8
omnivore,coal,public,189,very frequently,978,1,273,700.6
omnivore,natural gas,public,225,very frequently,1585,1,91,508.0
vegan,wood,walk/bicycle,139,never,92,2,84,167.6
vegetarian,coal,private,217,very frequently,4197,4,175,711.8
vegan,electricity,public,275,frequently,199,4,217,247.4
omnivore,coal,public,81,frequently,732,4,14,281.2
vegan,natural gas,public,270,frequently,584,6,140,362.4
pescatarian,natural gas,public,219,very frequently,476,4,189,556.8
omnivore,electricity,public,207,very frequently,1507,4,273,510.8
vegetarian,wood,private,131,rarely,6915,5,35,240.6
vegan,coal,public,56,rarely,133,4,112,233.4
vegetarian,coal,walk/bicycle,184,rarely,9,1,112,255.8
vegan,electricity,walk/bicycle,250,never,34,6,189,168.4
vegetarian,coal,private,85,very frequently,9359,2,203,530.8
pescatarian,natural gas,walk/bicycle,126,never,62,1,119,166.0
vegan,natural gas,public,297,rarely,1681,3,147,324.8
vegetarian,coal,walk/bicycle,210,never,93,3,161,287.8
omnivore,coal,walk/bicycle,245,very frequently,56,1,168,580.8
pescatarian,coal,private,293,very frequently,3509,7,161,820.6
vegetarian,wood,walk/bicycle,173,rarely,37,2,175,212.0
omnivore,coal,private,123,very frequently,6731,2,133,840.6
vegetarian,coal,public,75,rarely,1388,1,175,171.2
vegetarian,electricity,private,256,frequently,159,7,140,486.6
vegetarian,coal,private,73,never,7976,5,35,896.6
omnivore,electricity,public,273,never,1032,7,175,332.2
vegan,coal,public,129,rarely,1351,6,84,296.8
vegetarian,natural gas,public,65,very frequently,436,2,224,591.0
vegan,wood,private,231,rarely,4595,4,182,518.0
vegetarian,wood,public,271,never,770,4,7,233.2
omnivore,natural gas,public,137,rarely,1632,2,231,348.4
pescatarian,natural gas,public,54,rarely,69,5,119,325.6
pescatarian,electricity,public,219,never,1876,4,196,418.0
vegan,coal,public,68,never,158,3,84,265.4
omnivore,coal,public,289,frequently,838,6,168,534.6
vegetarian,electricity,private,76,rarely,2723,7,161,532.8
vegan,electricity,public,67,frequently,593,2,196,247.8
vegan,wood,private,296,never,4910,5,189,598.2
omnivore,natural gas,walk/bicycle,244,rarely,61,7,63,337.6
omnivore,coal,walk/bicycle,105,rarely,54,2,91,312.6
pescatarian,natural gas,private,275,rarely,4425,2,238,625.4
omnivore,coal,walk/bicycle,83,very frequently,85,6,154,819.0
vegetarian,coal,private,162,rarely,7434,6,133,497.2
omnivore,electricity,private,209,frequently,7258,1,189,1016.4
vegan,wood,walk/bicycle,76,never,7,5,168,432.0
vegetarian,coal,walk/bicycle,72,frequently,74,3,49,418.2
vegan,electricity,walk/bicycle,282,never,37,5,252,339.2
vegan,coal,private,298,never,1170,1,259,201.8
omnivore,wood,private,170,never,6890,2,182,426.8
vegan,coal,public,234,rarely,506,4,84,409.4
omnivore,natural gas,walk/bicycle,282,never,99,6,168,438.0
vegetarian,natural gas,private,215,never,1695,6,322,235.4
pescatarian,electricity,private,175,frequently,5671,4,210,362.8
omnivore,electricity,private,190,never,8553,6,175,256.8
pescatarian,coal,public,73,rarely,1418,7,189,367.8
pescatarian,electricity,public,214,rarely,382,3,196,205.2
omnivore,natural gas,private,127,never,5005,6,182,520.0
vegetarian,electricity,walk/bicycle,62,very frequently,77,4,91,437.8
vegetarian,electricity,public,199,rarely,194,2,154,300.0
vegetarian,wood,public,256,frequently,1446,6,147,337.0
vegan,coal,walk/bicycle,223,frequently,58,6,140,382.8
vegan,natural gas,private,185,rarely,7570,2,189,569.0
vegan,natural gas,private,125,rarely,8298,2,112,430.4
pescatarian,coal,private,294,very frequently,3216,1,182,515.4
omnivore,coal,private,187,rarely,9945,3,98,844.0
pescatarian,natural gas,public,155,never,499,6,133,239.8
vegan,wood,public,277,frequently,1426,3,140,310.4
omnivore,coal,private,296,very frequently,95,5,140,658.8
vegan,coal,private,213,very frequently,1467,6,56,648.6
pescatarian,coal,public,269,never,1172,2,189,335.0
vegetarian,electricity,public,86,rarely,1212,7,63,260.8
omnivore,electricity,walk/bicycle,228,very frequently,99,6,217,575.6
pescatarian,electricity,private,243,never,2787,2,245,225.2
omnivore,natural gas,walk/bicycle,276,rarely,7,3,154,297.8
omnivore,electricity,private,292,frequently,3347,4,168,390.8
vegan,electricity,public,282,frequently,1475,7,63,391.4
pescatarian,natural gas,public,74,very frequently,1873,7,224,755.6
vegan,natural gas,public,208,very frequently,1661,2,238,413.8
omnivore,coal,public,260,frequently,774,2,210,484.2
vegan,electricity,public,294,very frequently,1043,2,140,560.2
pescatarian,electricity,private,52,frequently,9006,4,294,1109.4
vegan,natural gas,walk/bicycle,229,frequently,15,2,238,468.6
vegetarian,natural gas,public,291,never,1199,5,105,446.4
vegetarian,coal,walk/bicycle,184,frequently,20,2,147,461.8
vegan,wood,private,131,rarely,4058,3,196,446.6
vegan,wood,walk/bicycle,288,frequently,95,4,189,283.8
omnivore,coal,walk/bicycle,192,frequently,71,5,231,417.4
vegetarian,electricity,public,175,very frequently,1603,5,196,565.8
pescatarian,natural gas,public,64,very frequently,1595,2,140,611.4
vegan,coal,walk/bicycle,62,frequently,92,4,77,467.4
vegetarian,natural gas,walk/bicycle,56,frequently,80,3,168,330.2
vegetarian,electricity,walk/bicycle,209,frequently,21,3,91,442.8
omnivore,electricity,walk/bicycle,136,frequently,31,3,175,280.4
pescatarian,wood,walk/bicycle,284,very frequently,3,2,133,463.4
vegetarian,coal,private,276,never,2698,1,91,405.4
pescatarian,natural gas,private,209,never,1580,5,147,308.6
omnivore,wood,private,86,rarely,5541,3,287,504.4
omnivore,electricity,private,238,rarely,7014,2,63,799.2
omnivore,coal,public,79,very frequently,1122,5,203,534.6
vegan,coal,private,200,never,1644,3,98,447.0
vegetarian,natural gas,public,214,rarely,1854,3,175,275.6
pescatarian,natural gas,walk/bicycle,59,very frequently,72,6,77,587.8
vegan,electricity,private,235,very frequently,4383,2,210,862.2
pescatarian,coal,walk/bicycle,50,frequently,69,7,245,421.4
omnivore,natural gas,private,122,never,5954,4,245,683.8
vegetarian,wood,private,218,rarely,9258,4,224,742.6
vegan,natural gas,private,156,frequently,2041,1,245,296.8
omnivore,coal,private,289,never,2033,7,14,503.4
vegetarian,wood,public,168,frequently,1958,7,196,378.0
vegetarian,coal,walk/bicycle,242,frequently,58,5,84,614.2
vegan,coal,walk/bicycle,73,frequently,92,4,161,414.6
vegetarian,coal,walk/bicycle,145,very frequently,93,1,63,446.6
omnivore,wood,private,214,never,7926,5,245,328.8
omnivore,electricity,public,117,very frequently,1988,7,168,591.4
vegetarian,natural gas,public,118,frequently,757,4,105,455.6
omnivore,coal,private,292,rarely,8497,6,182,562.6
pescatarian,wood,walk/bicycle,162,frequently,62,4,63,396.6
vegan,wood,private,209,rarely,5323,3,280,555.8
vegetarian,electricity,walk/bicycle,222,very frequently,17,5,161,442.4
vegan,natural gas,public,181,very frequently,5,2,147,582.0
pescatarian,coal,public,74,rarely,1997,1,161,210.2
vegan,natural gas,private,120,frequently,7153,7,154,1008.8
omnivore,natural gas,public,163,never,1301,2,217,319.0
vegan,coal,private,264,frequently,2864,7,301,749.0
vegan,coal,private,252,rarely,6029,3,245,616.8
pescatarian,wood,private,68,frequently,825,7,147,456.0
pescatarian,coal,public,177,very frequently,660,6,161,733.8
pescatarian,wood,public,94,very frequently,967,2,133,344.8
omnivore,electricity,public,247,rarely,1111,3,77,339.0
vegan,electricity,public,144,very frequently,884,4,161,484.6
vegan,coal,private,99,frequently,704,6,49,426.0
omnivore,natural gas,private,278,rarely,2514,5,161,444.8
omnivore,natural gas,private,89,very frequently,3208,2,42,611.6
pescatarian,electricity,public,69,very frequently,1954,1,140,398.8
vegetarian,wood,walk/bicycle,62,never,92,6,189,321.0
omnivore,natural gas,public,110,rarely,1438,4,168,350.2
vegan,natural gas,public,223,frequently,1923,7,231,481.0
pescatarian,natural gas,public,73,frequently,846,4,147,388.2
omnivore,coal,walk/bicycle,248,rarely,65,5,161,439.0
omnivore,electricity,walk/bicycle,145,frequently,41,3,280,421.2
pescatarian,coal,public,216,rarely,635,4,126,503.2
vegetarian,electricity,private,255,never,9842,4,28,591.2
pescatarian,natural gas,walk/bicycle,54,frequently,77,1,91,335.6
omnivore,electricity,private,189,never,7953,7,126,871.4
vegetarian,coal,walk/bicycle,216,frequently,48,3,35,449.8
pescatarian,natural gas,walk/bicycle,273,never,86,7,133,155.2
pescatarian,electricity,walk/bicycle,281,frequently,18,4,189,558.8
vegetarian,coal,walk/bicycle,171,never,65,5,161,387.8
omnivore,coal,private,158,frequently,1844,6,70,450.0
pescatarian,electricity,walk/bicycle,198,rarely,91,7,168,231.0
omnivore,electricity,public,270,never,1749,6,154,240.6
pescatarian,natural gas,private,224,very frequently,4397,6,273,806.2
vegetarian,wood,public,186,very frequently,1008,5,224,472.8
vegan,wood,walk/bicycle,122,very frequently,19,5,294,489.2
pescatarian,coal,private,158,frequently,6419,6,217,889.0
vegetarian,electricity,walk/bicycle,91,rarely,95,3,56,240.4
vegan,natural gas,walk/bicycle,186,frequently,8,5,105,334.0
pescatarian,coal,private,272,very frequently,7008,4,140,1026.6
vegan,electricity,public,90,very frequently,1601,7,154,539.6
pescatarian,electricity,walk/bicycle,232,never,0,7,182,418.4
vegan,electricity,private,222,rarely,1072,3,140,217.2
vegetarian,coal,public,229,very frequently,695,6,189,567.0
omnivore,coal,walk/bicycle,99,rarely,42,1,168,197.4
vegan,natural gas,private,238,rarely,9316,3,56,358.0
vegetarian,natural gas,private,54,very frequently,9507,5,182,1324.2
vegetarian,wood,public,191,frequently,1635,7,168,349.8
vegetarian,coal,public,97,very frequently,810,5,252,544.2
vegetarian,natural gas,private,161,rarely,1899,6,273,380.0
vegetarian,coal,public,259,frequently,103,5,98,351.2
vegetarian,electricity,walk/bicycle,147,frequently,71,2,231,289.8
vegetarian,wood,walk/bicycle,212,rarely,86,1,98,280.0
omnivore,coal,public,263,never,818,7,196,288.2
pescatarian,electricity,private,206,very frequently,4809,4,168,806.2
vegetarian,electricity,walk/bicycle,209,rarely,92,3,175,256.8
omnivore,natural gas,private,236,frequently,3610,2,238,346.6
omnivore,wood,private,110,rarely,5696,4,161,329.0
vegetarian,natural gas,public,123,never,1795,3,294,274.8
pescatarian,electricity,walk/bicycle,297,very frequently,98,5,7,334.8
vegetarian,wood,public,159,very frequently,1895,4,301,562.2
vegetarian,natural gas,public,165,never,1321,4,175,201.4
pescatarian,wood,public,274,frequently,824,1,133,293.2
omnivore,electricity,public,282,frequently,984,1,140,434.6
omnivore,electricity,walk/bicycle,212,frequently,95,6,182,484.0
omnivore,coal,private,80,rarely,9746,5,154,332.0
vegetarian,coal,private,204,very frequently,3315,6,112,794.6
pescatarian,wood,walk/bicycle,98,rarely,32,4,231,277.4
omnivore,coal,private,130,very frequently,7885,6,203,1362.0
pescatarian,wood,walk/bicycle,59,frequently,51,1,98,226.0
vegetarian,natural gas,private,276,never,2916,5,203,478.6
omnivore,natural gas,walk/bicycle,273,never,54,5,140,407.6
vegan,coal,public,71,never,1758,4,259,330.4
vegetarian,wood,public,109,frequently,1414,4,35,295.0
omnivore,natural gas,public,127,never,479,5,21,373.4
vegan,wood,walk/bicycle,281,rarely,25,1,259,293.4
vegetarian,wood,public,108,rarely,575,6,245,374.6
vegan,natural gas,public,268,very frequently,23,7,287,442.4
pescatarian,coal,public,100,very frequently,1401,7,112,608.8
omnivore,wood,public,112,never,197,5,161,359.0
pescatarian,coal,public,107,rarely,780,7,42,411.8
vegan,wood,walk/bicycle,226,frequently,22,4,126,336.2
vegan,natural gas,walk/bicycle,124,never,56,7,182,324.8
vegan,electricity,public,159,very frequently,57,6,224,466.6
pescatarian,wood,private,233,very frequently,3805,2,238,634.2
vegetarian,coal,private,144,never,7958,6,259,698.4
pescatarian,coal,public,209,never,137,4,231,305.2
omnivore,electricity,walk/bicycle,118,rarely,82,3,147,262.2
pescatarian,natural gas,walk/bicycle,290,frequently,8,7,245,514.0
pescatarian,natural gas,public,299,frequently,298,2,154,494.8
omnivore,natural gas,public,99,never,308,4,189,280.8
vegetarian,coal,private,183,rarely,8198,2,147,922.4
vegetarian,wood,public,161,very frequently,1092,2,126,582.2
omnivore,electricity,walk/bicycle,54,very frequently,20,4,133,527.0
vegetarian,electricity,walk/bicycle,52,rarely,42,6,280,347.0
omnivore,wood,public,118,very frequently,854,5,119,623.8
omnivore,electricity,private,120,rarely,1401,2,119,153.2
vegan,electricity,private,266,never,4293,6,168,459.4
omnivore,wood,private,229,very frequently,5235,2,196,734.0
